fiscal_year,year_end_date,region,revenue_m,total_rev_m,method
FY2016,2016/1/31,United States,643,5010,billing
FY2016,2016/1/31,Taiwan,1912,5010,billing
FY2016,2016/1/31,China,806,5010,billing
FY2016,2016/1/31,Other,1649,5010,billing
FY2017,2017/1/29,United States,904,6910,billing
FY2017,2017/1/29,Taiwan,2546,6910,billing
FY2017,2017/1/29,China,1305,6910,billing
FY2017,2017/1/29,Other,2155,6910,billing
FY2018,2018/1/28,United States,1274,9714,billing
FY2018,2018/1/28,Taiwan,2991,9714,billing
FY2018,2018/1/28,China,1896,9714,billing
FY2018,2018/1/28,Other,3553,9714,billing
FY2019,2019/1/27,United States,1506,11716,billing
FY2019,2019/1/27,Taiwan,3360,11716,billing
FY2019,2019/1/27,China,2801,11716,billing
FY2019,2019/1/27,Other,4049,11716,billing
FY2020,2020/1/26,United States,886,10918,billing
FY2020,2020/1/26,Taiwan,3025,10918,billing
FY2020,2020/1/26,China,2731,10918,billing
FY2020,2020/1/26,Other,4276,10918,billing
FY2021,2021/1/31,United States,3214,16675,billing
FY2021,2021/1/31,Taiwan,4531,16675,billing
FY2021,2021/1/31,China,3886,16675,billing
FY2021,2021/1/31,Other,5044,16675,billing
FY2022,2022/1/30,United States,4349,26914,billing
FY2022,2022/1/30,Taiwan,8544,26914,billing
FY2022,2022/1/30,China,7111,26914,billing
FY2022,2022/1/30,Other,6910,26914,billing
FY2023,2023/1/29,United States,8292,26974,billing
FY2023,2023/1/29,Taiwan,6986,26974,billing
FY2023,2023/1/29,China,5785,26974,billing
FY2023,2023/1/29,Other,5911,26974,billing
FY2024,2024/1/28,United States,31533,60922,billing
FY2024,2024/1/28,Taiwan,14912,60922,billing
FY2024,2024/1/28,China,12330,60922,billing
FY2024,2024/1/28,Other,2147,60922,billing
FY2025,2025/1/26,United States,77482,130497,billing
FY2025,2025/1/26,Taiwan,23600,130497,billing
FY2025,2025/1/26,China,25048,130497,billing
FY2025,2025/1/26,Other,4367,130497,billing
FY2026,2026/1/25,United States,149617,215938,hq
FY2026,2026/1/25,Taiwan,42345,215938,hq
FY2026,2026/1/25,China,19677,215938,hq
FY2026,2026/1/25,Other,4299,215938,hq
